Date,Open,High,Low,Close,Adj Close,Volume
2022-11-16,14.480000,14.502000,14.156000,14.250000,13.052371,10218861
2022-11-17,14.322000,14.388000,14.004000,14.108000,12.922305,8112234
2022-11-18,14.250000,14.410000,14.192000,14.410000,13.198923,9935411
2022-11-21,14.408000,14.552000,14.368000,14.542000,13.319830,6841134
2022-11-22,14.452000,14.738000,14.392000,14.682000,13.448064,8719566
2022-11-23,14.736000,14.736000,14.450000,14.464000,13.248385,6889669
2022-11-24,14.504000,14.698000,14.502000,14.654000,13.422417,4996884
2022-11-25,14.666000,14.680000,14.504000,14.650000,13.418753,4629453
2022-11-28,14.574000,14.640000,14.474000,14.554000,13.330821,5572080
2022-11-29,14.620000,14.756000,14.388000,14.710000,13.473710,8943265
2022-11-30,14.788000,14.926000,14.696000,14.892000,13.640414,15723912
2022-12-01,14.996000,15.074000,14.840000,14.908000,13.655069,14291795
2022-12-02,14.860000,14.890000,14.460000,14.602000,13.374787,10869461
2022-12-05,14.572000,14.670000,14.476000,14.658000,13.426081,7750958
2022-12-06,14.590000,14.668000,14.412000,14.448000,13.233730,7935913
2022-12-07,14.486000,14.620000,14.410000,14.482000,13.264873,8112637
2022-12-08,14.444000,14.456000,14.082000,14.082000,12.898490,12257326
2022-12-09,14.120000,14.158000,13.568000,13.724000,12.570578,17653946
2022-12-12,13.680000,13.914000,13.618000,13.784000,12.625536,6973217
2022-12-13,13.834000,14.110000,13.624000,13.800000,12.640191,11046928
2022-12-14,13.800000,13.938000,13.768000,13.892000,12.724459,8090966
2022-12-15,13.800000,13.856000,13.456000,13.554000,12.414865,14317406
2022-12-16,13.532000,13.606000,13.334000,13.354000,12.231674,18077490
2022-12-19,13.394000,13.540000,13.372000,13.474000,12.341589,7028870
2022-12-20,13.290000,13.328000,13.176000,13.254000,12.140079,8853439
2022-12-21,13.312000,13.546000,13.272000,13.540000,12.402042,7446576
2022-12-22,13.600000,13.622000,13.064000,13.124000,12.021004,10143472
2022-12-23,13.124000,13.258000,13.064000,13.190000,12.081457,5234734
2022-12-27,13.306000,13.332000,13.130000,13.158000,12.052147,3239781
2022-12-28,13.162000,13.230000,13.070000,13.118000,12.015509,6572127
2022-12-29,13.094000,13.418000,13.048000,13.378000,12.253657,6912019
2022-12-30,13.354000,13.410000,13.264000,13.264000,12.149239,5485642
2023-01-02,13.350000,13.664000,13.350000,13.648000,12.500965,5995743
2023-01-03,13.682000,14.000000,13.610000,13.826000,12.664005,10635484
2023-01-04,13.840000,14.198000,13.790000,14.192000,12.999246,11205279
2023-01-05,14.100000,14.398000,14.060000,14.340000,13.134807,8703319
2023-01-06,14.424000,14.454000,14.024000,14.446000,13.231898,10476856
2023-01-09,14.544000,14.632000,14.474000,14.554000,13.330821,10394010
2023-01-10,14.582000,14.736000,14.502000,14.666000,13.433409,10380755
2023-01-11,14.780000,14.788000,14.532000,14.648000,13.416921,8356208
2023-01-12,14.736000,14.870000,14.594000,14.770000,13.528668,12310217
2023-01-13,14.750000,14.750000,14.102000,14.230000,13.034051,19979779
2023-01-16,14.310000,14.398000,14.118000,14.316000,13.112823,7749051
2023-01-17,14.330000,14.396000,14.104000,14.362000,13.154958,10429807
2023-01-18,14.404000,14.456000,14.252000,14.268000,13.068857,8387240
2023-01-19,14.180000,14.206000,13.906000,13.910000,12.740946,11640060
2023-01-20,14.028000,14.052000,13.780000,14.024000,12.845365,11167514
